Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
49831089,"Gig Mindset: Reclaim Your Time, Reinvent Your Career, and Ride the Next Wave of Disruption",Paul Estes,"Estes, Paul",,"=""1544506325""","=""9781544506326""",0,3.91,Lioncrest Publishing,Paperback,310,2020,,,2020/04/13,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
42371000,Marketing to Mindstates: The Practical Guide to Applying Behavior Design to Research and Marketing,Will Leach,"Leach, Will",,"=""1544512406""","=""9781544512402""",0,4.19,Lioncrest Publishing,Paperback,256,2018,,,2020/04/13,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
41317431,Big Debt Crises,Ray Dalio,"Dalio, Ray",,"=""""","=""""",0,4.39,Bridgewater,Kindle Edition,456,2018,,,2020/03/08,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.16,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2020/02/01,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",Sharon Lechter,"=""0751532711""","=""9780751532715""",0,4.09,Time Warner Books UK,Paperback,195,2007,1997,,2020/02/01,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
35133922,Educated,Tara Westover,"Westover, Tara",,"=""""","=""""",0,4.46,Random House,Hardcover,334,2018,2018,,2020/02/01,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",0,4.19,Grand Central Publishing,Hardcover,296,2016,2016,,2020/02/01,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
31703257,Quiet: by Susan Cain | Conversation Starters,Daily Books,"Books, Daily",,"=""""","=""9781370563869""",0,3.78,826writers,ebook,,2016,,,2020/02/01,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",0,4.37,Scribner,Hardcover,368,2017,2017,,2020/02/01,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
44333183,The Unicorn Project,Gene Kim,"Kim, Gene",,"=""1942788762""","=""9781942788768""",0,4.14,It Revolution Press,Hardcover,345,2019,2019,,2020/02/01,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
30646587,"The Simple Path to Wealth: Your road map to financial independence and a rich, free life",J.L. Collins,"Collins, J.L.",Mr. Money Mustache,"=""""","=""""",0,4.47,jlcollinsnh.com,Kindle Edition,288,2016,2016,,2020/02/01,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
46223297,Permanent Record,Edward Snowden,"Snowden, Edward",,"=""1250237238""","=""9781250237231""",0,4.30,Metropolitan Books,Hardcover,339,2019,2019,,2020/02/01,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
38821039,The Making of a Manager: What to Do When Everyone Looks to You,Julie Zhuo,"Zhuo, Julie",,"=""0735219567""","=""9780735219564""",0,4.27,Portfolio,Hardcover,288,2019,2019,,2020/02/01,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
30796736,SVG Animations: From Common UX Implementations to Complex Responsive Animation,Sarah Drasner,"Drasner, Sarah",,"=""1491939702""","=""9781491939703""",0,4.24,O'Reilly Media,Paperback,225,2017,,,2020/01/05,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
44525559,This Could Be Our Future: A Manifesto for a More Generous World,Yancey Strickler,"Strickler, Yancey",,"=""0525560823""","=""9780525560821""",0,4.10,Viking,Hardcover,304,2019,,,2020/01/04,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
33517721,The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,"Coyle, Daniel",,"=""0804176981""","=""9780804176989""",0,4.32,Bantam,Hardcover,304,2018,2017,,2020/01/04,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",5,4.17,Crown Business,Hardcover,195,2014,2014,,2020/01/03,,,read,,,,1,,,0,,,,,
10127019,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,"Ries, Eric",,"=""0307887898""","=""9780307887894""",5,4.10,Currency,Hardcover,299,2011,2011,,2020/01/03,,,read,,,,1,,,0,,,,,
